timestamps,TP9,AF7,AF8,TP10,Right AUX
1739045366.333,-8.301,238.281,65.430,51.758,0.000
1739045366.337,82.031,126.953,-51.270,89.844,0.000
1739045366.341,93.750,-213.379,-166.504,92.285,0.000
1739045366.345,22.461,-41.016,-57.617,-1.465,0.000
1739045366.349,9.766,197.266,8.301,34.668,0.000
1739045366.352,12.695,-70.312,-159.180,72.754,0.000
1739045366.356,-35.645,-227.051,-211.914,103.516,0.000
1739045366.360,-13.672,-228.027,-196.777,112.305,0.000
1739045366.364,13.672,-110.840,-138.672,5.859,0.000
1739045366.368,-37.598,-252.930,-217.773,50.293,0.000
1739045366.372,-39.551,-646.973,-337.402,32.715,0.000
1739045366.376,-41.992,-83.008,-27.832,-59.570,0.000
1739045366.380,-20.508,248.535,49.316,-38.086,0.000
1739045366.383,-20.996,19.043,-21.484,31.738,0.000
1739045366.388,-62.988,39.062,-1.953,26.855,0.000
1739045366.392,-97.168,261.230,73.242,-47.363,0.000
1739045366.395,-58.105,250.977,61.035,-15.625,0.000
1739045366.399,-17.090,104.492,49.316,66.895,0.000
1739045366.403,-105.957,120.605,46.387,-1.953,0.000
1739045366.407,-145.996,2.930,-43.945,-46.875,0.000
1739045366.411,-100.586,-23.438,-34.180,-20.996,0.000
1739045366.415,-99.121,-434.570,-192.383,47.363,0.000
1739045366.419,-126.465,-464.844,-172.852,50.293,0.000
1739045366.423,-131.836,321.289,87.891,-3.418,0.000
1739045366.426,-98.633,299.316,-1.953,34.668,0.000
1739045366.430,-106.445,152.344,-23.926,87.891,0.000
1739045366.434,-147.949,354.980,51.270,66.406,0.000
1739045366.438,-108.887,478.516,81.543,33.691,0.000
1739045366.442,-77.637,266.602,-28.320,139.160,0.000
1739045366.446,-77.637,113.281,-78.125,51.270,0.000
1739045366.450,-44.434,223.145,10.254,-163.574,0.000
1739045366.454,-7.324,151.367,-21.484,11.719,0.000
1739045366.458,9.766,-163.086,-185.547,278.809,0.000
1739045366.462,-1.465,-421.387,-229.492,264.648,0.000
1739045366.465,-38.574,69.824,20.996,42.969,0.000
1739045366.469,-57.129,364.746,47.363,85.449,0.000
1739045366.473,-23.438,-45.898,-65.918,223.633,0.000
1739045366.477,-1.465,-136.719,-48.828,137.207,0.000
1739045366.481,-14.160,337.891,98.145,111.816,0.000
1739045366.485,41.016,420.410,99.609,236.328,0.000
1739045366.489,59.570,169.434,29.785,263.184,0.000
1739045366.493,22.949,187.988,47.852,233.398,0.000
1739045366.497,17.090,360.352,89.844,161.621,0.000
1739045366.501,-10.254,210.449,33.691,159.668,0.000
1739045366.505,28.809,-430.176,-193.359,195.312,0.000
1739045366.508,93.750,-500.977,-163.574,183.105,0.000
1739045366.512,73.242,294.434,113.281,227.051,0.000
1739045366.516,20.996,322.266,41.504,222.168,0.000
1739045366.520,-20.996,129.883,11.719,337.402,0.000
1739045366.524,-75.195,349.609,92.773,282.715,0.000
1739045366.528,-134.766,587.891,132.324,68.848,0.000
1739045366.532,-136.719,433.105,35.645,154.785,0.000
1739045366.536,-180.176,178.223,-9.766,162.109,0.000
1739045366.540,-169.434,598.633,166.016,87.891,0.000
1739045366.544,-208.984,947.266,195.312,88.867,0.000
1739045366.548,-371.582,586.426,40.527,154.785,0.000
1739045366.552,-375.977,379.883,60.059,233.398,0.000
1739045366.555,-473.145,890.625,253.906,108.398,0.000
1739045366.559,-561.035,999.512,258.789,35.645,0.000
1739045366.563,-523.926,828.613,105.957,113.281,0.000
1739045366.567,-616.211,866.211,114.258,124.512,0.000
1739045366.571,-637.695,984.863,201.172,249.023,0.000
1739045366.575,-572.266,966.309,114.746,384.277,0.000
1739045366.579,-676.270,865.723,0.488,273.926,0.000
1739045366.583,-708.008,881.836,-7.812,128.418,0.000
1739045366.587,-663.086,966.797,93.750,59.570,0.000
1739045366.591,-615.723,970.215,60.059,129.395,0.000
1739045366.595,-626.953,773.438,-54.199,94.238,0.000
1739045366.599,-774.902,760.254,-7.324,6.836,0.000
1739045366.602,-878.906,948.730,57.617,31.738,0.000
1739045366.606,-933.105,910.645,21.973,-27.344,0.000
1739045366.610,-987.793,813.965,36.621,-171.875,0.000
1739045366.614,-1000.000,886.719,116.211,-259.277,0.000
1739045366.618,-999.023,991.211,171.875,-333.008,0.000
1739045366.622,-998.535,928.223,148.438,-339.355,0.000
1739045366.626,-1000.000,460.938,31.250,-365.723,0.000
1739045366.630,-973.145,606.934,132.812,-493.652,0.000
1739045366.634,-941.895,999.512,298.340,-520.996,0.000
1739045366.638,-932.617,770.996,186.523,-412.598,0.000
1739045366.642,-860.840,433.594,112.793,-363.281,0.000
1739045366.645,-802.734,664.551,228.027,-365.234,0.000
1739045366.649,-752.930,999.512,312.988,-304.199,0.000
1739045366.653,-641.113,709.473,125.488,-226.562,0.000
1739045366.657,-526.367,119.141,37.598,-143.066,0.000
1739045366.661,-488.281,672.852,286.133,-62.500,0.000
1739045366.665,-502.930,999.512,131.836,-78.125,0.000
1739045366.669,-498.535,767.578,-167.480,-55.664,0.000
1739045366.673,-409.668,808.105,-6.348,24.414,0.000
1739045366.677,-367.188,972.168,108.398,48.828,0.000
1739045366.681,-397.461,797.852,-199.707,107.422,0.000
1739045366.685,-406.738,442.383,-357.910,162.109,0.000
